"X","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2"
35,118,"House",21306,71,14,"CA",100,NA,NA,"SWALWELL, Eric","S001193",1980,NA,-0.36,-0.054,-57.98752,0.93999,937,28,NA,-0.364,0.2
36,118,"House",21307,71,22,"CA",200,NA,NA,"VALADAO, David G.","V000129",1977,NA,0.258,0.437,-69.59655,0.93283,1001,24,NA,0.268,0.679
37,118,"House",21308,71,26,"CA",100,NA,NA,"BROWNLEY, Julia","B001285",1952,NA,-0.299,0.058,-44.27027,0.95711,1010,16,NA,-0.454,0.204
38,118,"House",21309,71,29,"CA",100,NA,NA,"CÁRDENAS, Tony","C001097",1963,NA,-0.389,-0.041,-67.25231,0.93439,991,34,NA,-0.472,-0.241
39,118,"House",21311,71,25,"CA",100,NA,NA,"RUIZ, Raul","R000599",1972,NA,-0.255,0.048,-66.65112,0.9362,1011,30,NA,-0.38,0.063
40,118,"House",21312,71,39,"CA",100,NA,NA,"TAKANO, Mark","T000472",1960,NA,-0.46,-0.32,-54.62065,0.94746,1012,22,NA,-0.428,-0.48
41,118,"House",21314,71,52,"CA",100,NA,NA,"VARGAS, Juan","V000130",1961,NA,-0.396,0.019,-76.61462,0.92702,1011,36,NA,-0.346,-0.294
42,118,"House",21315,71,50,"CA",100,NA,NA,"PETERS, Scott","P000608",1958,NA,-0.191,-0.028,-77.52773,0.92583,1006,34,NA,-0.299,0.073
43,118,"House",21504,71,10,"CA",100,NA,NA,"DESAULNIER, Mark James","D000623",1952,NA,-0.515,-0.37,-47.28042,0.95368,997,23,NA,-0.427,-0.422
44,118,"House",21506,71,33,"CA",100,NA,NA,"AGUILAR, Peter Rey","A000371",1979,NA,-0.316,0.14,-55.47904,0.94691,1017,25,NA,-0.521,0.305
45,118,"House",21507,71,36,"CA",100,NA,NA,"LIEU, Ted","L000582",1969,NA,-0.371,-0.214,-63.19342,0.93846,995,27,NA,-0.357,-0.129
46,118,"House",21508,71,35,"CA",100,NA,NA,"TORRES, Norma Judith","T000474",1965,NA,-0.37,0.063,-48.83537,0.95289,1012,14,NA,-0.405,0.155
47,118,"House",21703,71,44,"CA",100,NA,NA,"BARRAGÁN, Nanette Diaz","B001300",1976,NA,-0.501,-0.105,-52.2661,0.94932,1005,26,NA,-0.441,-0.278
48,118,"House",21709,71,24,"CA",100,NA,NA,"CARBAJAL, Salud","C001112",1964,NA,-0.319,0.112,-42.83365,0.95868,1015,12,NA,-0.421,0.231
49,118,"House",21711,71,46,"CA",100,NA,NA,"CORREA, Jose Luis","C001110",1958,NA,-0.279,0.16,-119.16999,0.8855,980,51,NA,-0.287,-0.046
50,118,"House",21728,71,17,"CA",100,NA,NA,"KHANNA, Rohit","K000389",1976,NA,-0.477,-0.306,-70.01155,0.93303,1010,30,NA,-0.329,-0.413
51,118,"House",21740,71,19,"CA",100,NA,NA,"PANETTA, James Varni","P000613",1969,NA,-0.292,0.159,-90.31837,0.91502,1017,35,NA,-0.281,0.294
